datetime,open,high,low,close,volume,symbol
2025-03-03 06:15:00,92986.63,93030.0,92766.66,92838.0,251.76392,BTC/USDT
2025-03-03 06:30:00,92837.99,92837.99,91988.0,91993.99,628.99999,BTC/USDT
2025-03-03 06:45:00,91994.0,92299.0,91341.64,91645.99,1010.14362,BTC/USDT
2025-03-03 07:00:00,91646.0,92131.13,91181.0,91884.05,706.58049,BTC/USDT
2025-03-03 07:15:00,91884.05,92093.2,91641.5,91964.0,373.54701,BTC/USDT
2025-03-03 07:30:00,91964.0,92288.62,91876.02,92148.01,299.69063,BTC/USDT
2025-03-03 07:45:00,92146.01,92564.3,92138.91,92363.58,265.03037,BTC/USDT
2025-03-03 08:00:00,92363.58,92394.03,92169.81,92193.05,216.02001,BTC/USDT
2025-03-03 08:15:00,92193.06,92243.58,91638.61,91943.37,393.96267,BTC/USDT
2025-03-03 08:30:00,91943.37,92201.73,91730.0,91994.43,392.53563,BTC/USDT
2025-03-03 08:45:00,91994.43,92018.5,91142.0,91477.54,990.85805,BTC/USDT
2025-03-03 09:00:00,91477.54,91874.6,91190.27,91650.4,657.58062,BTC/USDT
2025-03-03 09:15:00,91650.41,91948.04,91272.47,91896.01,373.57786,BTC/USDT
2025-03-03 09:30:00,91896.0,92082.75,91721.97,91945.99,665.9463,BTC/USDT
2025-03-03 09:45:00,91945.99,92048.34,91783.44,91847.76,296.71934,BTC/USDT
2025-03-03 10:00:00,91847.76,91974.0,91546.71,91600.17,316.20137,BTC/USDT
2025-03-03 10:15:00,91600.17,92200.0,91571.01,92031.99,303.99575,BTC/USDT
2025-03-03 10:30:00,92031.99,92499.0,91982.46,92355.53,318.49033,BTC/USDT
2025-03-03 10:45:00,92355.52,92581.86,92227.0,92546.77,195.08592,BTC/USDT
2025-03-03 11:00:00,92546.76,92917.99,92415.57,92719.65,460.19218,BTC/USDT
2025-03-03 11:15:00,92719.66,92836.79,92464.28,92723.9,307.39838,BTC/USDT
2025-03-03 11:30:00,92723.9,92788.21,92450.15,92584.91,228.8251,BTC/USDT
2025-03-03 11:45:00,92584.91,92748.07,92524.37,92739.99,196.86328,BTC/USDT
2025-03-03 12:00:00,92740.0,93255.58,92716.57,93161.69,460.07704,BTC/USDT
2025-03-03 12:15:00,93161.69,93221.85,92856.75,92856.75,294.49972,BTC/USDT
2025-03-03 12:30:00,92856.75,93132.14,92663.19,93013.96,382.52719,BTC/USDT
